manager_id,manager_name,type,style,strategy,sector
5,1290 Funds,AssetAllocation,Discretionary,Diversified,Global
3700,168 Trading Limited,Crypto,Systematic,Market Neutral,Global
3707,1L Capital,Market Neutral,Fund of Funds,Diversified,Global
13,2100news,Crypto,Discretionary,Digital Asset Allocator,Global
22,36 South Capital Advisors,Hedge Fund,Discretionary,Fundamental,Volatility
28,3I,Infrastructure,Discretionary,Diversified,Global
36,7orca Asset Management AG,RiskPremia,Systematic,Option Writer,Global
3758,Abans Investment Managers,CTA,Systematic,Market Neutral,Global
47,Abbey Capital,CTA,Fund of Funds,Diversified,Global
49,ABCA Asset Management,Market Neutral,Systematic,Multi Strategy,Global
3655,ABR,CTA,Systematic,Option Strategy,Equity
59,Abraxas Capital Management,Crypto,Discretionary,Crypto LS,Global
62,Absolute Capital,AssetAllocation,Systematic,Diversified,Global
67,Absolute Return Capital Management,CTA,Systematic,Trend Following,Global
4109,Acasta Partners,Hedge Fund,Discretionary,Multi Strategy,Global
73,Accendo Capital,Equity LS,Discretionary,Fundamental,Nordic
80,Acheron Capital,Fixed Income,Discretionary,Fundamental,Life Settlement
81,ACM,Equity LS,Discretionary,Technical,US
3903,AD Capital Management,Equity LS,Discretionary,Fundamental,Asia
94,Adalpha Asset Management,CTA,Systematic,Short Term,Global
4108,Adapt Investment Managers,CTA,Discretionary,Option Strategy,Global
103,Advanced Alpha Advisers,CTA,Systematic,Short Term,Global
3999,Advenio Capital Management,Equity LS,Discretionary,Fundamental,Global
4094,AE Capital,CTA,Systematic,Multi Strategy,Global
4015,Aegeri Capital,CTA,Discretionary,Fundamental,Commodity
111,Aegon,Fixed Income,Discretionary,Fundamental,Global
117,Aetolian Advisors  / Newton Capital Partners LP,CTA,Discretionary,Fundamental,Global
120,Africa Opportunity,Private Equity,Discretionary,Diversified,Emerging
123,AG Capital,CTA,Discretionary,Fundamental,Global
124,Agenta Investment Management,Hedge Fund,Discretionary,Multi Strategy,Global
128,Agility Trading,CTA,Systematic,Trend Following,Global
4154,AGT Capital,CTA,Systematic,Multi Strategy,Global
129,Ahead Capital Management,CTA,Discretionary,Fundamental,Global
4508,AI Investments,Hedge Fund,Systematic,AI,Global
152,Alcur,Equity LS,Discretionary,Fundamental,Nordic
165,Alger,Equity LS,Discretionary,Growth,US
166,Algert,Market Neutral,Systematic,Fundamental,Global
3747,Alicanto Capital,Event Driven,Discretionary,Fundamental,Global
180,Alken,Equity LS,Discretionary,Fundamental,Europe
181,Alkeon,Equity LS,Discretionary,Fundamental,Global
185,Allianz Global Investors,Fixed Income,Discretionary,Fundamental,Global
187,Allington,RiskPremia,Systematic,Multi Strategy,Global
190,Allspring,RiskPremia,Systematic,Multi Strategy,Global
4201,ALLX Capital Markets,CTA,Systematic,Short Term,Commodity
207,AlphaBee Asset Management,CTA,Fund of Funds,Diversified,Global
208,Alphabeth Quant,Crypto,Discretionary,Crypto LS,Global
209,AlphaCentric Advisors,CTA,Systematic,Option Writer,Equity
213,AlphaSimplex Group,CTA,Systematic,Trend Following,Global
3701,Alphemy Capital SA,Crypto,Discretionary,Digital Asset Allocator,Global
230,Altegris Advisors,CTA,Fund of Funds,Diversified,Global
233,Alternative Capital Advisors,CTA,Discretionary,Fundamental,Agricultural
234,Alternative Equity Partners,Hedge Fund,Fund of Funds,Diversified,Global
236,Alternative Liquid Fund,Hedge Fund,Fund of Funds,Diversified,Sidepocket
250,Amber Capital,Equity LS,Discretionary,Fundamental,Global
252,Amber Infrastructure Group,Infrastructure,Discretionary,PPP,Global
3772,Ambrus Capital Management,CTA,Discretionary,Multi Strategy,Volatility
256,Amedeo,Private Equity,Discretionary,Diversified,Aircraft
264,AMFA Capital Management,CTA,Systematic,Fundamental,Global
266,Amina Group,Crypto,Discretionary,Digital Asset Allocator,Global
271,Amundi,Fixed Income,Discretionary,Fundamental,Global
4000,Analog Century Management,Equity LS,Discretionary,Fundamental,Technology
4112,Ananda Asset Management,Equity LS,Discretionary,Fundamental,Global
276,Anchor Capital,Equity LS,Systematic,Technical,US
280,Ancora Advisors,Event Driven,Discretionary,Fundamental,Global
281,Anderson Creek Trading,CTA,Systematic,Trend Following,Global
4453,Annapurna,CTA,Discretionary,Fundamental,Global
3680,Antaurus,Equity LS,Discretionary,Fundamental,Technology
293,Antiloop,CTA,Discretionary,Fundamental,Global
295,AP Futures,CTA,Discretionary,Fundamental,Volatility
297,Aperture,Fixed Income,Discretionary,Fundamental,Credit
3939,Apis Capital Advisors,Equity LS,Discretionary,Fundamental,Global
302,Apollo Capital Management Pty,Crypto,Discretionary,Crypto LS,Global
4501,Apollo Multi Asset Management,Hedge Fund,Fund of Funds,Diversified,Global
308,AQR Capital Management,Market Neutral,Systematic,Multi Strategy,Global
310,Aquaeductus Capital As,Equity LS,Discretionary,Value,Global
311,Aquantum,CTA,Systematic,Market Neutral,Energy
4001,Aravali Asset Management,Fixed Income,Discretionary,Market Neutral,Credit
319,Arca Investment Management,Crypto,Discretionary,Digital Asset Allocator,Global
4002,Archon Capital Management,Equity LS,Discretionary,Fundamental,Global
336,Ardea,Fixed Income,Discretionary,Market Neutral,Global
3673,Arena Digital Capital Management,Crypto,Fund of Funds,Crypto LS,Global
3791,Argo Capital Management,Fixed Income,Discretionary,Fundamental,Emerging
340,Argonaut,Equity LS,Discretionary,Fundamental,Global
4011,Armington Capital,CTA,Systematic,Multi Strategy,Global
356,Artemis Capital Management,Equity LS,Discretionary,Fundamental,Global
3977,Asgard Asset Management,Fixed Income,Discretionary,Market Neutral,Global
368,Asilo Asset Management,LongOnly,Discretionary,Value,Equity
370,Aspect Capital Limited,CTA,Systematic,Multi Strategy,Global
375,Aspiriant,Hedge Fund,Fund of Funds,Diversified,Global
376,Assenagon,Hedge Fund,Discretionary,Option Strategy,Volatility
377,Asset Advisor,Hedge Fund,Discretionary,Multi Strategy,Global
4082,Asset Management One (AMO),RiskPremia,Systematic,Diversified,Global
4025,Astaris Capital Management,Event Driven,Discretionary,Fundamental,Global
