manager_id,manager_name,type,style,strategy,sector,active
2,1 Apex,Crypto,Discretionary,Digital Asset Allocator,Global,False
3,10TEN Fonder,Market Neutral,Systematic,Multi Strategy,Europe,False
4,120 Capital Management,CTA,Systematic,Fundamental,Global,False
5,1290 Funds,AssetAllocation,Discretionary,Diversified,Global,True
6,1512 SG Capital Management AG,CTA,Systematic,Contrarian,Global,False
8,1900 Investments Asset Management,CTA,Systematic,Short Term,Energy,False
9,1OAK Capital Limited,CTA,Systematic,Market Neutral,Commodity,False
10,20/10 Futures,CTA,Systematic,Multi Strategy,Global,False
11,20x Coins Index,Crypto,Discretionary,Digital Asset Allocator,Global,False
12,2100 Xenon Group,CTA,Systematic,Multi Strategy,Global,False
13,2100news,Crypto,Discretionary,Digital Asset Allocator,Global,True
18,2Blue Capital,CTA,Systematic,Contrarian,Equity,False
19,2Pixels Capital Management,CTA,Systematic,Option Writer,Equity,False
21,300 North Capital,CTA,Discretionary,Technical,Global,False
22,36 South Capital Advisors,Hedge Fund,Discretionary,Fundamental,Volatility,True
23,361 Capital,CTA,Systematic,Contrarian,Equity,False
24,369 strategy,Crypto,Discretionary,Digital Asset Allocator,Global,False
26,396 Capital,CTA,Systematic,Trend Following,Global,False
27,3D Capital Management,CTA,Systematic,Short Term,Equity,False
28,3I,Infrastructure,Discretionary,Diversified,Global,True
29,3i Capital Advisors,CTA,Discretionary,Market Neutral,Volatility,False
30,3iQ Corp,Crypto,Index,Index,Index,True
31,5 Stars Turbo Long,Crypto,Discretionary,Digital Asset Allocator,Global,False
32,514 Capital Partners,CTA,Systematic,Trend Following,Global,False
33,6 Month 6 month stack,Crypto,Discretionary,Digital Asset Allocator,Global,False
34,6800 Capital,CTA,Fund of Funds,Diversified,Global,False
35,7im,AssetAllocation,Discretionary,Diversified,Global,True
36,7orca Asset Management AG,RiskPremia,Systematic,Option Writer,Global,True
37,97 West Capital,CTA,Systematic,Multi Strategy,Energy,False
38,A S Peskin and Company,CTA,Systematic,Multi Strategy,Global,False
39,A Venture Capital Pro,CTA,Systematic,Multi Strategy,Currency,False
41,A-VENTURE CAPITAL SA,CTA,Systematic,Short Term,Global,False
42,AAA Capital Management,CTA,Discretionary,Fundamental,Energy,False
43,Aargo,Hedge Fund,Systematic,Multi Strategy,Global,False
44,Aaro Capital,Crypto,Fund of Funds,Market Neutral,Global,False
45,AbacusBlock Index,Crypto,Discretionary,Digital Asset Allocator,Global,False
47,Abbey Capital,CTA,Fund of Funds,Diversified,Global,True
48,ABC Capital,CTA,Systematic,Short Term,Global,False
49,ABCA Asset Management,Market Neutral,Systematic,Multi Strategy,Global,True
51,Abel Capital Management,CTA,Systematic,Short Term,Equity,False
52,Abelian Capital Management,CTA,Systematic,Trend Following,Global,False
53,Abingdon Global,CTA,Discretionary,Fundamental,Global,False
