manager_id,manager_name,type,style,strategy,sector,website,email_1,email_2,phone_1,email_score,contact_name,contact_title,confidence,source,status,notes,last_checked
5,1290 Funds,AssetAllocation,Discretionary,Diversified,Global,https://www.1290funds.com,[email protected],,8883100416,20,,,high,"Gemini:URL, WebScrape, Gemini:Contacts",Needs Review,company website,2026-06-28
3700,168 Trading Limited,Crypto,Systematic,Market Neutral,Global,https://168trading.fund,jez@168trading.fund,,,60,Jez,,high,"Gemini:URL, WebScrape, Gemini:Contacts",Verified,company website,2026-06-28
3707,1L Capital,Market Neutral,Fund of Funds,Diversified,Global,,info@1lcapital.com,,+41 78 884 01 22,40,,,medium,Gemini:Contacts,Needs Review,company website,2026-06-28
13,2100news,Crypto,Discretionary,Digital Asset Allocator,Global,,info@2100news.com,,+386 40 509 990,40,,,medium,Gemini:Contacts,Needs Review,company Facebook page,2026-06-28
22,36 South Capital Advisors,Hedge Fund,Discretionary,Fundamental,Volatility,https://www.36south.com,richard.hollington@36south.com,,,70,Richard Hollington,,medium,"Gemini:URL, Gemini:Contacts",Verified,privatefunddata.com,2026-06-28
28,3I,Infrastructure,Discretionary,Diversified,Global,https://www.3i-infrastructure.com,thomas.fodor@3i.com,,+44 20 7975 3469,30,Thomas Fodor,Investor Relations Partner,high,"Gemini:URL, Gemini:Contacts",Needs Review,company website,2026-06-28
36,7orca Asset Management AG,RiskPremia,Systematic,Option Writer,Global,https://www.7orca.com,sven.mueller@7orca.com,info@7orca.com,+494033460460,70,Sven O. Müller,Head of Relationship Management,high,"Gemini:URL, WebScrape, Gemini:Contacts",Verified,company website,2026-06-28
3758,Abans Investment Managers,CTA,Systematic,Market Neutral,Global,https://www.abansim.com,service.abansim@abans.co.in,,+ 91 022 68170100 | WhatsApp:          +91 9136963181,30,Sumeet Agarwal,Compliance Officer,high,"Gemini:URL, WebScrape, Gemini:Contacts",Needs Review,Central Depository Services (India) Limited (CDSL) website,2026-06-28
47,Abbey Capital,CTA,Fund of Funds,Diversified,Global,https://www.abbeycapital.com,info@abbeycapital.com,,+1 646 453 7850,80,,,medium,"Gemini:URL, Gemini:Contacts",Verified,company website,2026-06-28
49,ABCA Asset Management,Market Neutral,Systematic,Multi Strategy,Global,https://www.abc-arbitrage.com,,,+33 153005500,0,ABC Arbitrage Asset Management,,medium,"Gemini:URL, Gemini:Contacts",Needs Review,business directory,2026-06-28
