manager_id,manager_name,type,style,strategy,sector,website,email_1,email_2,phone_1,email_score,contact_name,contact_title,confidence,source,status,notes,last_checked
3655,ABR,CTA,Systematic,Option Strategy,Equity,https://abrdynamicfunds.com,,,212-918-4664,0,ABR Team Member,General Contact,high,"Gemini:URL, WebScrape, Gemini:Contacts",Needs Review,ABR Dynamic Funds official website (abrdynamicfunds.com),2026-06-28
59,Abraxas Capital Management,Crypto,Discretionary,Crypto LS,Global,https://www.abraxascm.com,ir@abraxascm.com,otc@abraxascm.com,,80,,,high,"Gemini:URL, WebScrape, Gemini:Contacts",Verified,Abraxas Capital Management official website contact page: https://www.abraxascm.com/contact-us/,2026-06-28
62,Absolute Capital,AssetAllocation,Systematic,Diversified,Global,https://www.abscap.com,webinfo@abscap.com,,412-388-1900,60,"Not specified, general contact email",Not specified,high,"Gemini:URL, WebScrape, Gemini:Contacts",Verified,Absolute Capital Management official website (abscap.com),2026-06-28
67,Absolute Return Capital Management,CTA,Systematic,Trend Following,Global,https://www.arcapmgt.com,info@arcmtrading.com,info@arcapmgt.com,,40,,,high,"Gemini:URL, WebScrape, Gemini:Contacts",Needs Review,Company website: https://www.arcapmgt.com,2026-06-28
4109,Acasta Partners,Hedge Fund,Discretionary,Multi Strategy,Global,https://acasta.com,ir@acasta.com,info@acasta.com,+44 (0) 20 7070 2500,80,,,high,"Gemini:URL, WebScrape, Gemini:Contacts",Verified,"Acasta Partners official website (acasta.com/contact, acasta.com/about-us/our-team) for investor enquiries.",2026-06-28
73,Accendo Capital,Equity LS,Discretionary,Fundamental,Nordic,https://www.accendofund.com,contact@accendofund.com,,,80,,,high,"Gemini:URL, WebScrape, Gemini:Contacts",Verified,Accendo Capital official website (accendofund.com) and search snippet,2026-06-28
80,Acheron Capital,Fixed Income,Discretionary,Fundamental,Life Settlement,,info@acheroncapital.com,,,40,,,medium,Gemini:Contacts,Needs Review,Acheron Capital Ltd website (http://www.acheroncapital.co.uk/contact-us/),2026-06-28
81,ACM,Equity LS,Discretionary,Technical,US,,,,,0,Rom Wilson (Founder),Founder,low,None,No Reliable Contact Found,"ACM Capital Management website (acmcapmgmt.com) indicates Rom Wilson as founder, but contact details not publicly available in extractable format.",2026-06-28
3903,AD Capital Management,Equity LS,Discretionary,Fundamental,Asia,https://www.adcapital.com.hk,info@adcapital.com.hk,,+85228269109,80,,,high,"Gemini:URL, Gemini:Contacts",Verified,Company website (contact page),2026-06-28
94,Adalpha Asset Management,CTA,Systematic,Short Term,Global,https://www.adalphaasset.com,client@adalphaasset.com,,604 312-922-5667,60,,,high,"Gemini:URL, WebScrape, Gemini:Contacts",Verified,Official company website,2026-06-28
4108,Adapt Investment Managers,CTA,Discretionary,Option Strategy,Global,https://www.adapt-im.ch,info@adapt-im.ch,,,80,,,high,"Gemini:URL, WebScrape, Gemini:Contacts",Verified,ADAPT Investment Managers official website contact page: https://www.adapt-im.ch/contact-us,2026-06-28
103,Advanced Alpha Advisers,CTA,Systematic,Short Term,Global,https://www.advancedalphaadvisers.com,,,+1-914-548-8176,0,,,high,"Gemini:URL, WebScrape, Gemini:Contacts",Needs Review,Advanced Alpha Advisers official website contact page: https://www.advancedalphaadvisers.com/contact-2/,2026-06-28
3999,Advenio Capital Management,Equity LS,Discretionary,Fundamental,Global,https://adveniocap.com,,,+1-203-580-4919,0,,,medium,"Gemini:URL, Gemini:Contacts",Needs Review,Buzzfile.com search snippet,2026-06-28
4094,AE Capital,CTA,Systematic,Multi Strategy,Global,,,,,0,,,low,None,No Reliable Contact Found,"No publicly available contact information found after multiple web searches for 'AE Capital' and related terms (SEC Form ADV, NFA, official website contact).",2026-06-28
4015,Aegeri Capital,CTA,Discretionary,Fundamental,Commodity,,,,,0,,,low,None,No Reliable Contact Found,No publicly available contact information found after extensive web search.,2026-06-28
111,Aegon,Fixed Income,Discretionary,Fundamental,Global,https://www.aegonam.com,,,+1 (877) 234-6862,0,,,low,"Gemini:URL, WebScrape",Needs Review,Unable to find publicly available contact information for Aegon Asset Management using web search and website fetching due to consistent 'No results found' errors from web_search and a country/investor type wall on the official website.,2026-06-28
117,Aetolian Advisors  / Newton Capital Partners LP,CTA,Discretionary,Fundamental,Global,,,,,0,,,low,None,No Reliable Contact Found,No publicly available contact information found for Aetolian Advisors / Newton Capital Partners LP through web searches or SEC filings.,2026-06-28
120,Africa Opportunity,Private Equity,Discretionary,Diversified,Emerging,,,,,0,,,low,None,No Reliable Contact Found,"No specific fund named 'Africa Opportunity' with publicly available contact information could be identified through web searches or SEC filings. The search results discuss private equity in Africa generally, but not a specific fund with this name.",2026-06-28
123,AG Capital,CTA,Discretionary,Fundamental,Global,,,,,0,,,high,None,No Reliable Contact Found,Could not find publicly available contact information for AG Capital (CTA) through web searches or SEC filings.,2026-06-28
124,Agenta Investment Management,Hedge Fund,Discretionary,Multi Strategy,Global,,,,,0,Johan August Spennare,External CEO,medium,None,No Reliable Contact Found,allabolag.se,2026-06-28
128,Agility Trading,CTA,Systematic,Trend Following,Global,https://agilitytrading.com,info@agilitytrading.com,,+1 (561) 304-9555,80,,,high,"Gemini:URL, WebScrape, Gemini:Contacts",Verified,Company website,2026-06-28
4154,AGT Capital,CTA,Systematic,Multi Strategy,Global,https://www.agtinvest.com,info@agtinvest.com,,,80,,,high,"Gemini:URL, Gemini:Contacts",Verified,Company website: https://www.agtinvest.com,2026-06-28
129,Ahead Capital Management,CTA,Discretionary,Fundamental,Global,https://aheadcapital.us,,,,0,"Anton Barinov (Founder and Chief Investment Officer), Nikita Nesterenko (Research Analyst)","Founder and Chief Investment Officer, Research Analyst",medium,Gemini:URL,No Reliable Contact Found,"Ahead Capital Management website snippet, NFA registration (ID 0556742), OpenCorpData, Florida Companies Directory",2026-06-28
4508,AI Investments,Hedge Fund,Systematic,AI,Global,,info@aiinvestments.tech,,,40,,,medium,Gemini:Contacts,Needs Review,AI Investments website (aiinvestments.tech/investment-proposals/emerging-opportunities/),2026-06-28
152,Alcur,Equity LS,Discretionary,Fundamental,Nordic,https://www.alcur.se,info@alcur.se,,+46 8-586 114 00,80,Carl Niclas Röken,External Verkställande Direktör (CEO),high,"Gemini:URL, WebScrape, Gemini:Contacts",Verified,Allabolag.se for ALCUR FONDER AB,2026-06-28
165,Alger,Equity LS,Discretionary,Growth,US,https://www.alger.com,mediarelations@alger.com,,004 212.806.8800,60,"Christoph Hofmann, CFA","President, Chief Distribution Officer",high,"Gemini:URL, WebScrape, Gemini:Contacts",Verified,Alger official website (alger.com) and SEC Form ADV snippets,2026-06-28
166,Algert,Market Neutral,Systematic,Fundamental,Global,https://www.algertglobal.com,contact@algertglobal.com,,(415) 675-7300,80,,,,"Gemini:URL, WebScrape",Verified,,2026-06-28
3747,Alicanto Capital,Event Driven,Discretionary,Fundamental,Global,https://www.alicantosicav.com,info@alicantosicav.com,,+39 02 863571,80,,,high,"Gemini:URL, WebScrape, Gemini:Contacts",Verified,Alicanto SICAV official website (https://www.alicantosicav.com/contacts/),2026-06-28
180,Alken,Equity LS,Discretionary,Fundamental,Europe,https://www.alken-am.com,,,+442074401900,0,,,high,"Gemini:URL, Gemini:Contacts",Needs Review,"ZoomInfo, Sovereign Wealth Fund Institute",2026-06-28
181,Alkeon,Equity LS,Discretionary,Fundamental,Global,,,,212 716 6840,0,,,medium,Gemini:Contacts,Needs Review,Alkeon Capital Management official website,2026-06-28
185,Allianz Global Investors,Fixed Income,Discretionary,Fundamental,Global,https://www.allianzgi.com,,,+44 20 3246 7432,0,Alastair Fairbrother,Head of Communications and Positioning Global,high,"Gemini:URL, Gemini:Contacts",Needs Review,Allianz Global Investors official website (Media relations contacts page),2026-06-28
187,Allington,RiskPremia,Systematic,Multi Strategy,Global,,info@allington.de,,+496172388710,40,"Riklef v. Schüssler (Vorstand), Conrad Lauterbach (Vorstand)",Board of Directors,high,Gemini:Contacts,Needs Review,Allington Investors AG official website (allington.de/impressum/),2026-06-28
190,Allspring,RiskPremia,Systematic,Multi Strategy,Global,https://www.allspringglobal.com,allspringinstitutional@allspringglobal.com,,1-800-222-8222,60,,,high,"Gemini:URL, WebScrape, Gemini:Contacts",Verified,"Allspring Global Investments official website, Contact Us page",2026-06-28
